business type,deposit 1,deposit 2,deposit 3,avg deposit amount,avg deposit count,num of days with neg balance,credit score,satisfactory credit account,delinquent credit account,credit inquiries,past default,time since last default,number of lenders,individual lender withdrawals,monthly lender withdrawal,leftover cashflow,approval,offer,rate,term (days)
DAY CARE CENTER,1467.64,1268.44,1414.2,1383.43,10,2,330,9,10,38,True,1,1,25.71,558.94,824.49,Denied,0.0,0.0,0
DAY CARE CENTER,33081.33,27341.19,35972.26,32131.6,12,0,458,15,2,44,True,1,3,494.97;301.72;175.64,21138.45,10993.14,Approved,7000,1.45,70
HOTEL,8405.51,7453.3,7092.45,7650.42,20,0,797,34,12,27,False,-1,0,N/A,0.0,7650.42,Approved,4500,1.45,80
AUTO REPAIR SHOP,33763.53,36459.19,34848.6,35023.77,10,0,537,20,4,20,False,-1,3,432.63;386.17;170.05,21497.6,13526.17,Approved,10500,1.45,70
GROCERY STORE,36991.21,35081.33,37708.62,36593.72,17,0,378,3,17,29,True,2,4,641.76;252.46;324.73;206.59,30991.24,5602.48,Approved,5000,1.45,60
GROCERY STORE,7487.51,6509.45,8184.15,7393.7,18,0,427,33,13,29,False,-1,4,120.40;41.21;47.73;37.21,5360.0,2033.71,Approved,2000,1.45,50
GROCERY STORE,31072.16,33886.97,26587.65,30515.59,17,0,565,4,26,58,True,0,0,N/A,0.0,30515.59,Denied,0.0,0.0,0
FITNESS CENTER,38281.11,35254.9,26308.92,33281.64,9,0,657,24,34,34,True,0,1,412.61,8970.14,24311.5,Approved,4000,1.45,60
TRUCKING COMPANY,13789.32,13545.68,8465.63,11933.55,5,2,666,0,21,30,False,-1,1,162.88,3541.01,8392.53,Approved,3000,1.45,50
CAR DEALER,34775.11,37005.86,40431.8,37404.26,6,6,680,18,6,26,False,-1,2,532.43;376.40,19757.96,17646.29,Approved,8000,1.45,70
CONSTRUCTION RELATED,28224.08,27534.36,30562.41,28773.62,7,2,488,15,26,25,True,0,0,N/A,0.0,28773.62,Denied,0.0,0.0,0
OTHER,13729.98,10619.26,11538.78,11962.67,9,10,607,3,11,32,False,-1,4,185.75;119.53;90.66;67.65,10078.45,1884.23,Denied,0.0,0.0,0
RESTAURANT,34485.8,36610.61,30231.58,33776.0,16,3,713,17,4,26,True,2,0,N/A,0.0,33776.0,Denied,0.0,0.0,0
RESTAURANT,3899.37,3922.69,4086.64,3969.57,19,0,534,5,10,15,False,-1,0,N/A,0.0,3969.57,Approved,2000,1.45,60
OTHER,20357.36,16127.52,21059.18,19181.35,13,0,609,32,2,9,False,-1,0,N/A,0.0,19181.35,Approved,11000,1.45,100
GAS STATION,18594.48,15432.0,14792.22,16272.9,18,0,611,21,32,23,True,0,0,N/A,0.0,16272.9,Denied,0.0,0.0,0
TOWING COMPANY,33467.53,29262.46,29391.0,30707.0,9,9,539,25,21,29,True,0,0,N/A,0.0,30707.0,Denied,0.0,0.0,0
LUXURY TRANSPORTATION SERVICE,9596.48,11001.02,8860.68,9819.39,6,0,514,20,4,29,False,-1,5,149.69;91.55;80.12;55.40;62.00,9538.64,280.75,Denied,0.0,0.0,0
LUXURY TRANSPORTATION SERVICE,15033.09,15575.85,14397.47,15002.14,7,0,459,33,31,51,True,0,0,N/A,0.0,15002.14,Denied,0.0,0.0,0
STAFFING COMPANY,916.09,1526.84,1226.54,1223.16,18,0,655,32,17,16,False,-1,0,N/A,0.0,1223.16,Denied,0.0,0.0,0
STAFFING COMPANY,39923.84,37445.91,35472.17,37613.98,14,15,586,34,3,17,True,0,0,N/A,0.0,37613.98,Denied,0.0,0.0,0
RESTAURANT,5805.47,4972.19,6289.89,5689.18,17,1,507,9,7,25,False,-1,1,84.32,1833.12,3856.07,Approved,2000,1.45,60
DAY CARE CENTER,6264.2,6519.73,4882.51,5888.82,11,0,551,8,27,34,True,0,0,N/A,0.0,5888.82,Denied,0.0,0.0,0
CAR DEALER,28472.08,33017.27,28487.12,29992.16,5,8,452,15,29,15,False,-1,2,510.54;210.17,15668.24,14323.92,Approved,6000,1.45,65
AUTO REPAIR SHOP,3110.2,3111.43,3714.49,3312.04,6,4,616,33,31,29,True,2,0,N/A,0.0,3312.04,Denied,0.0,0.0,0
FITNESS CENTER,28764.08,28054.2,26469.16,27762.48,11,0,478,14,21,18,True,0,0,N/A,0.0,27762.48,Denied,0.0,0.0,0
GROCERY STORE,14756.46,11666.86,17178.28,14533.87,17,0,543,3,29,39,False,-1,3,171.73;144.01;123.06,9539.51,4994.35,Approved,3500,1.45,60
DENTISTS' OFFICE,17533.55,18532.71,16268.77,17445.01,13,15,470,1,22,33,False,-1,4,260.47;147.28;106.07;81.05,12932.47,4512.54,Denied,0.0,0.0,0
DAY CARE CENTER,13054.79,13481.87,13236.64,13257.76,11,3,537,34,24,25,True,0,0,N/A,0.0,13257.76,Denied,0.0,0.0,0
PLUMBER,12737.28,11984.86,12310.68,12344.28,9,4,673,33,7,15,True,1,0,N/A,0.0,12344.28,Denied,0.0,0.0,0
STAFFING COMPANY,10099.32,10438.34,11537.47,10691.71,15,0,653,27,18,31,True,4,0,N/A,0.0,10691.71,Denied,0.0,0.0,0
GAS STATION,35306.85,38151.44,31409.13,34955.81,18,0,500,12,2,54,False,-1,2,425.63;326.09,16342.39,18613.41,Approved,11000,1.45,70
AUTO REPAIR SHOP,34108.33,27874.57,27595.49,29859.46,11,2,463,10,16,16,False,-1,5,368.23;252.23;243.78;185.38;183.13,26799.98,3059.48,Approved,5000,1.45,65
FITNESS CENTER,17475.43,16527.64,17016.91,17006.66,9,0,518,0,34,21,False,-1,4,301.67;119.35;92.51;97.36,13280.75,3725.91,Denied,0.0,0.0,0
GROCERY STORE,13002.95,13188.81,11392.68,12528.15,16,5,571,11,8,34,True,1,0,N/A,0.0,12528.15,Denied,0.0,0.0,0
CONSTRUCTION RELATED,25048.67,24610.04,22556.32,24071.68,3,0,486,9,22,27,False,-1,3,254.85;187.28;182.02,13569.02,10502.66,Approved,5000,1.45,70
DENTISTS' OFFICE,4866.55,5197.2,5419.64,5161.13,9,0,523,22,13,32,True,1,0,N/A,0.0,5161.13,Denied,0.0,0.0,0
DENTISTS' OFFICE,12012.42,10542.15,9495.36,10683.31,12,0,557,30,4,28,False,-1,3,204.42;92.91;78.60,8172.72,2510.59,Approved,4000,1.45,90
OTHER,22401.83,21109.83,19276.5,20929.38,9,5,487,5,21,27,False,-1,3,377.20;203.38;162.78,16160.65,4768.74,Approved,4200,1.45,70
DENTISTS' OFFICE,33210.97,33619.89,41248.89,36026.59,11,0,420,4,16,24,False,-1,1,309.51,6728.75,29297.84,Approved,12000,1.45,80
JANITORIAL SERVICE,38581.78,29878.33,27410.24,31956.78,12,14,677,22,5,34,False,-1,0,N/A,0.0,31956.78,Approved,10000,1.45,75
DAY CARE CENTER,19918.96,22383.43,20735.28,21012.56,9,0,598,11,14,25,True,0,1,355.09,7719.66,13292.9,Approved,5000,1.45,60
DENTISTS' OFFICE,5758.25,5081.41,6475.84,5771.83,11,6,600,26,17,47,False,-1,4,90.93;55.48;50.82;36.03,5071.07,700.76,Denied,0.0,0.0,0
PLUMBER,18738.01,18556.98,19093.52,18796.17,8,4,554,3,31,33,True,1,1,393.28,8549.91,10246.26,Approved,4000,1.45,60
FITNESS CENTER,9406.82,11017.84,12263.6,10896.09,11,0,592,8,5,24,False,-1,3,115.85;127.28;59.25,6573.74,4322.35,Approved,3000,1.45,60
INSURANCE AGENT,17616.96,18256.15,17781.5,17884.87,6,3,660,7,17,36,False,-1,0,N/A,0.0,17884.87,Denied,0.0,0.0,0
PLUMBER,18526.3,16677.63,16100.81,17101.58,8,2,606,29,27,19,False,-1,4,299.77;167.26;100.51;53.71,13505.97,3595.6,Approved,3500,1.45,60
FITNESS CENTER,16750.52,14450.3,15041.71,15414.18,7,6,545,1,28,27,False,-1,0,N/A,0.0,15414.18,Denied,0.0,0.0,0
TRUCKING COMPANY,20028.14,21699.9,23488.18,21738.74,5,3,476,1,10,29,False,-1,4,342.27;124.42;185.16;96.43,16267.61,5471.13,Denied,0.0,0.0,0
CONSTRUCTION RELATED,36338.54,28356.64,27799.58,30831.59,0,0,603,27,18,26,True,1,1,505.82,10996.53,19835.06,Approved,5000,1.45,60
GAS STATION,8710.63,9867.14,8888.12,9155.3,16,8,481,23,26,22,False,-1,2,107.69;76.48,4003.86,5151.44,Approved,3000,1.45,60
LUXURY TRANSPORTATION SERVICE,1428.03,1296.1,1386.07,1370.06,6,1,820,11,20,38,False,-1,0,N/A,0.0,1370.06,Denied,0.0,0.0,0
STAFFING COMPANY,15006.07,15934.66,18699.76,16546.83,14,9,564,26,9,31,True,1,0,N/A,0.0,16546.83,Denied,0.0,0.0,0
INSURANCE AGENT,30155.2,31013.01,30544.73,30570.98,6,0,651,7,24,25,False,-1,1,495.70,10776.52,19794.46,Approved,13000,1.45,70
OTHER,28321.36,28816.11,23223.43,26786.97,17,2,562,30,33,37,True,3,0,N/A,0.0,26786.97,Denied,0.0,0.0,0
GROCERY STORE,8582.7,8771.22,8555.18,8636.37,18,4,610,23,32,24,True,3,0,N/A,0.0,8636.37,Denied,0.0,0.0,0
OTHER,21677.41,22026.91,25140.71,22948.35,16,1,517,22,25,39,False,-1,5,473.92;236.33;114.92;67.02;101.48,21602.39,1345.96,Denied,0.0,0.0,0
HOTEL,25339.4,23302.31,27091.2,25244.3,20,7,304,20,21,36,True,4,0,N/A,0.0,25244.3,Denied,0.0,0.0,0
CONSTRUCTION RELATED,7141.57,6895.78,7033.78,7023.71,7,0,605,3,13,29,False,-1,4,82.66;65.67;57.90;25.20,5031.29,1992.42,Denied,0.0,0.0,0
DENTISTS' OFFICE,22201.75,20729.51,21982.17,21637.81,11,4,547,11,0,33,False,-1,3,289.54;194.05;116.72,13050.74,8587.07,Approved,7000,1.45,70
TOWING COMPANY,34508.59,30733.94,25865.18,30369.24,9,6,506,18,30,44,True,0,1,599.63,13035.96,17333.28,Approved,5000,1.45,60
FITNESS CENTER,12252.23,14385.98,13706.59,13448.27,15,3,590,5,30,36,False,-1,4,203.75;125.85;91.49;60.26,10464.55,2983.72,Denied,0.0,0.0,0
PLUMBER,16312.49,17727.2,15826.07,16621.92,5,7,590,28,22,45,False,-1,2,199.46;190.01,8467.08,8154.84,Approved,5000,1.45,70
AUTO REPAIR SHOP,1268.73,1493.35,1449.61,1403.9,8,4,540,23,5,22,True,0,0,N/A,0.0,1403.9,Denied,0.0,0.0,0
INSURANCE AGENT,10659.82,10126.31,10413.13,10399.75,6,4,516,14,2,35,True,0,0,N/A,0.0,10399.75,Denied,0.0,0.0,0
HOTEL,44153.8,39056.62,31203.46,38137.96,20,5,465,29,6,29,False,-1,1,585.73,12733.77,25404.19,Approved,25000,1.45,110
TRUCKING COMPANY,40639.12,38254.32,38153.08,39015.51,5,5,571,22,11,41,True,3,0,N/A,0.0,39015.51,Denied,0.0,0.0,0
HOTEL,11028.26,10755.21,10889.64,10891.04,20,4,447,10,17,34,True,0,0,N/A,0.0,10891.04,Denied,0.0,0.0,0
JANITORIAL SERVICE,27897.75,26558.75,30468.78,28308.43,11,10,532,25,28,22,True,2,1,329.21,7157.03,21151.4,Approved,10500,1.45,70
STAFFING COMPANY,33231.14,32388.35,26218.68,30612.72,13,0,432,3,17,22,False,-1,0,N/A,0.0,30612.72,Denied,0.0,0.0,0
STAFFING COMPANY,8261.63,7636.65,10092.78,8663.68,18,8,355,6,28,37,False,-1,4,100.42;47.65;52.57;37.39,5174.77,3488.91,Denied,0.0,0.0,0
DENTISTS' OFFICE,4753.57,6007.75,4083.46,4948.26,12,6,447,1,31,29,False,-1,0,N/A,0.0,4948.26,Denied,0.0,0.0,0
DAY CARE CENTER,12857.54,13169.79,15592.92,13873.41,8,12,659,5,16,50,False,-1,2,213.25;73.48,6233.51,7639.9,Approved,3500,1.45,70
INSURANCE AGENT,5136.05,5947.02,5130.36,5404.48,7,4,576,11,0,30,False,-1,1,81.16,1764.42,3640.06,Approved,3000,1.45,70
JANITORIAL SERVICE,10352.08,11427.04,10867.58,10882.23,12,7,511,28,26,22,True,0,1,111.78,2430.1,8452.14,Approved,3000,1.45,50
JANITORIAL SERVICE,25962.16,29970.04,29706.6,28546.27,14,0,481,27,7,46,True,2,0,N/A,0.0,28546.27,Denied,0.0,0.0,0
OTHER,19130.5,19276.8,23125.45,20510.92,13,8,594,20,9,42,True,0,0,N/A,0.0,20510.92,Denied,0.0,0.0,0
CAR DEALER,10696.89,8657.76,8594.66,9316.43,5,7,527,0,11,31,False,-1,1,114.48,2488.8,6827.64,Denied,0.0,0.0,0
TOWING COMPANY,13718.33,12025.96,16200.21,13981.5,8,0,469,32,5,26,False,-1,4,246.28;129.73;85.56;71.00,11578.07,2403.43,Approved,3000,1.45,60
FITNESS CENTER,29894.75,35416.31,28017.65,31109.57,10,0,617,0,34,36,False,-1,4,592.97;366.27;197.81;180.99,29088.99,2020.58,Approved,5000,1.45,70
FITNESS CENTER,44267.35,39418.46,35420.58,39702.13,9,3,566,17,25,23,False,-1,2,631.77;413.78,22730.26,16971.87,Approved,11000,1.45,70
DENTISTS' OFFICE,15350.14,14466.31,14074.34,14630.26,10,6,453,22,16,24,True,2,0,N/A,0.0,14630.26,Approved,2000,1.45,50
STAFFING COMPANY,14602.55,16236.24,17976.25,16271.68,14,21,491,28,19,16,True,4,0,N/A,0.0,16271.68,Denied,0.0,0.0,0
JANITORIAL SERVICE,9014.88,8972.86,10246.35,9411.36,14,6,544,30,19,30,False,-1,0,N/A,0.0,9411.36,Approved,5000,1.45,70
CAR DEALER,11025.23,12926.34,11682.68,11878.08,7,4,541,22,3,27,False,-1,0,N/A,0.0,11878.08,Approved,5000,1.45,70
HOTEL,20420.31,21302.36,24821.17,22181.28,19,0,479,8,13,25,False,-1,3,436.37;180.37;145.74,16576.32,5604.96,Approved,5000,1.45,70
DAY CARE CENTER,12451.16,11287.57,11346.0,11694.91,9,6,663,26,28,33,False,-1,4,204.05;143.41;71.39;65.22,10523.68,1171.23,Denied,0.0,0.0,0
GAS STATION,5066.48,6015.78,5161.51,5414.59,18,0,483,18,11,25,False,-1,3,69.16;62.85;40.20,3743.85,1670.74,Approved,2000,1.45,60
AUTO REPAIR SHOP,3951.25,4021.76,3629.17,3867.39,7,0,467,15,26,24,True,0,1,64.03,1392.01,2475.38,Denied,0.0,0.0,0
PLUMBER,7607.95,6926.94,9015.74,7850.21,8,6,676,7,5,20,True,0,0,N/A,0.0,7850.21,Denied,0.0,0.0,0
CONSTRUCTION RELATED,5994.15,5847.39,6968.71,6270.08,4,6,516,25,13,56,True,1,1,97.49,2119.43,4150.65,Denied,0.0,0.0,0
DAY CARE CENTER,6358.04,5224.21,5928.19,5836.81,9,5,515,31,4,19,True,0,0,N/A,0.0,5836.81,Denied,0.0,0.0,0
LUXURY TRANSPORTATION SERVICE,8238.37,10220.07,11323.55,9927.33,7,13,534,15,28,44,False,-1,2,139.87;55.41,4245.39,5681.94,Denied,0.0,0.0,0
CONSTRUCTION RELATED,7082.89,8630.93,7800.42,7838.08,5,8,620,15,17,48,True,1,0,N/A,0.0,7838.08,Denied,0.0,0.0,0
HOTEL,32528.65,31379.42,31511.47,31806.51,19,3,510,3,13,23,False,-1,3,467.90;223.94;222.97,19887.97,11918.54,Approved,5000,1.45,70
AUTO REPAIR SHOP,7743.04,10366.05,10049.07,9386.05,6,1,544,16,27,7,True,0,1,162.66,3536.23,5849.82,Approved,3000,1.45,60
RESTAURANT,5782.05,5306.52,6580.37,5889.65,17,13,660,24,19,55,False,-1,2,79.23;60.18,3030.77,2858.87,Denied,0.0,0.0,0
GROCERY STORE,28953.77,23181.04,23302.07,25145.63,17,11,631,23,15,28,False,-1,1,485.52,10555.2,14590.42,Approved,15000,1.45,100
OTHER,4062.7,3765.9,4438.64,4089.08,16,0,534,24,32,21,True,1,1,76.64,1666.15,2422.93,Denied,0.0,0.0,0
CAR DEALER,31434.83,26100.59,31844.35,29793.26,5,0,486,17,33,45,True,3,1,350.46,7619.0,22174.26,Approved,5000,1.45,60
TRUCKING COMPANY,14797.51,12625.28,13760.68,13727.83,4,1,492,30,21,46,True,2,0,N/A,0.0,13727.83,Denied,0.0,0.0,0
CONSTRUCTION RELATED,18611.44,18941.35,20919.8,19490.86,9,2,549,20,18,46,True,0,0,N/A,0.0,19490.86,Denied,0.0,0.0,0
CONSTRUCTION RELATED,32041.63,33629.97,32093.89,32588.5,6,0,657,30,1,35,True,0,0,N/A,0.0,32588.5,Denied,0.0,0.0,0
GROCERY STORE,19481.93,23931.19,23044.65,22152.59,17,7,707,14,29,34,True,0,0,N/A,0.0,22152.59,Denied,0.0,0.0,0
TRUCKING COMPANY,28793.58,26639.84,27390.57,27608.0,5,0,652,5,18,40,False,-1,1,536.67,11667.21,15940.79,Approved,10500,1.45,70
CONSTRUCTION RELATED,23342.88,30449.88,24121.69,25971.48,5,0,647,33,0,18,False,-1,2,445.15;145.16,12833.34,13138.14,Approved,13000,1.45,100
HOTEL,20498.75,20111.96,19333.38,19981.36,19,9,602,29,8,33,False,-1,0,N/A,0.0,19981.36,Approved,8000,1.45,90
AUTO REPAIR SHOP,33513.43,34326.15,38511.86,35450.48,9,0,472,18,0,32,False,-1,2,514.61;388.59,19635.57,15814.91,Approved,15000,1.45,85
DENTISTS' OFFICE,35829.34,29585.53,36057.23,33824.03,11,0,471,13,26,31,True,1,0,N/A,0.0,33824.03,Denied,0.0,0.0,0
PLUMBER,1563.6,1880.45,1510.29,1651.45,7,1,473,34,23,48,True,0,0,N/A,0.0,1651.45,Denied,0.0,0.0,0
GROCERY STORE,31511.9,38588.3,37176.65,35758.95,18,0,565,25,28,25,False,-1,3,701.57;313.52;166.28,25682.98,10075.97,Approved,11000,1.45,85
DENTISTS' OFFICE,4233.18,5268.04,4563.49,4688.24,11,11,410,25,2,18,False,-1,1,69.89,1519.41,3168.83,Approved,2500,1.45,65
CAR DEALER,1209.73,977.66,1141.96,1109.79,6,4,633,29,14,38,False,-1,1,20.93,455.02,654.77,Denied,0.0,0.0,0
DENTISTS' OFFICE,34691.27,27808.29,32199.66,31566.41,12,0,478,13,2,38,False,-1,0,N/A,0.0,31566.41,Approved,7000,1.45,70
DAY CARE CENTER,1997.93,1806.59,2019.26,1941.26,8,0,631,23,32,27,False,-1,0,N/A,0.0,1941.26,Denied,0.0,0.0,0
DAY CARE CENTER,3024.79,2246.87,2599.17,2623.61,8,0,472,30,10,32,False,-1,2,47.55;24.45,1565.28,1058.33,Denied,0.0,0.0,0
HOTEL,29545.97,26960.55,31892.72,29466.41,20,3,510,6,19,24,True,0,0,N/A,0.0,29466.41,Denied,0.0,0.0,0
LUXURY TRANSPORTATION SERVICE,27104.44,29689.79,26611.0,27801.74,6,0,534,17,26,16,False,-1,3,462.02;262.45;150.13,19013.8,8787.94,Approved,5000,1.45,70
STAFFING COMPANY,10346.31,15056.93,11005.85,12136.36,18,14,708,29,34,30,False,-1,4,178.01;104.70;82.65;62.58,9303.42,2832.95,Denied,0.0,0.0,0
GROCERY STORE,7667.69,7892.12,7400.95,7653.59,20,5,717,26,16,37,False,-1,0,N/A,0.0,7653.59,Approved,3500,1.45,60
CAR DEALER,27953.51,22493.41,29096.48,26514.46,4,0,576,11,0,34,True,2,1,334.69,7276.16,19238.3,Approved,5000,1.45,60
RESTAURANT,30605.95,29463.23,27021.22,29030.14,17,6,386,22,21,29,True,2,0,N/A,0.0,29030.14,Denied,0.0,0.0,0
LUXURY TRANSPORTATION SERVICE,16170.38,15106.06,18452.26,16576.23,5,1,548,30,8,13,False,-1,2,204.85;154.57,7813.79,8762.44,Approved,5000,1.45,70
OTHER,11243.61,9841.97,11660.57,10915.38,10,13,573,2,29,27,False,-1,2,188.49;89.77,6049.37,4866.01,Denied,0.0,0.0,0
DENTISTS' OFFICE,10355.83,9556.21,11130.48,10347.51,11,0,808,14,32,21,False,-1,1,108.90,2367.49,7980.02,Approved,7000,1.45,100
JANITORIAL SERVICE,21281.84,18641.36,21829.56,20584.25,11,0,692,21,19,33,False,-1,5,351.32;166.36;152.53;94.43;93.72,18660.75,1923.51,Denied,0.0,0.0,0
GAS STATION,1325.31,1433.31,1348.36,1369.0,16,0,691,19,23,16,True,1,0,N/A,0.0,1369.0,Denied,0.0,0.0,0
RESTAURANT,22108.07,27818.57,19940.42,23289.02,17,11,548,32,27,38,False,-1,2,299.59;236.19,11647.86,11641.16,Approved,6000,1.45,70
INSURANCE AGENT,10017.23,8944.61,7893.94,8951.93,6,0,527,20,27,48,True,4,0,N/A,0.0,8951.93,Denied,0.0,0.0,0
RESTAURANT,14828.46,14510.01,16387.23,15241.9,18,0,497,34,20,39,True,0,0,N/A,0.0,15241.9,Denied,0.0,0.0,0
TRUCKING COMPANY,28439.44,27057.87,25234.21,26910.51,4,2,603,18,33,27,True,2,1,410.18,8917.31,17993.19,Approved,7000,1.45,60
RESTAURANT,28391.47,22069.2,20569.56,23676.74,16,0,650,1,1,49,True,0,0,N/A,0.0,23676.74,Denied,0.0,0.0,0
CONSTRUCTION RELATED,7903.36,9193.46,7945.65,8347.49,7,0,556,30,18,48,False,-1,4,172.36;67.16;70.19;38.86,7577.91,769.58,Denied,0.0,0.0,0
INSURANCE AGENT,13447.65,10219.67,13186.31,12284.54,7,0,329,23,21,19,True,0,0,N/A,0.0,12284.54,Denied,0.0,0.0,0
RESTAURANT,15694.26,14627.04,15786.11,15369.14,18,14,719,24,14,29,True,0,0,N/A,0.0,15369.14,Denied,0.0,0.0,0
PLUMBER,19348.84,24107.98,23760.18,22405.67,7,11,473,16,6,41,True,2,0,N/A,0.0,22405.67,Denied,0.0,0.0,0
AUTO REPAIR SHOP,13710.02,16436.63,15052.55,15066.4,10,0,456,9,14,36,True,1,0,N/A,0.0,15066.4,Denied,0.0,0.0,0
OTHER,27785.97,34199.69,30024.86,30670.17,15,0,493,11,22,38,True,3,0,N/A,0.0,30670.17,Denied,0.0,0.0,0
JANITORIAL SERVICE,4011.65,4363.27,4196.09,4190.33,14,3,400,13,32,23,True,4,0,N/A,0.0,4190.33,Denied,0.0,0.0,0
TRUCKING COMPANY,5774.79,5624.1,6704.33,6034.41,5,0,534,1,0,25,False,-1,1,119.42,2596.19,3438.22,Approved,3000,1.45,60
STAFFING COMPANY,2031.31,1872.71,1594.17,1832.73,14,0,504,8,29,28,False,-1,0,N/A,0.0,1832.73,Denied,0.0,0.0,0
DENTISTS' OFFICE,2852.56,2384.43,2388.04,2541.68,11,0,538,13,15,29,True,2,1,28.44,618.29,1923.39,Denied,0.0,0.0,0
PLUMBER,1147.89,1031.53,993.03,1057.48,6,7,460,31,29,38,True,1,0,N/A,0.0,1057.48,Denied,0.0,0.0,0
HOTEL,10033.4,7450.12,10983.26,9488.93,19,3,566,8,18,32,True,0,1,168.41,3661.23,5827.69,Approved,3000,1.45,60
TRUCKING COMPANY,12812.46,15094.21,14178.01,14028.22,5,0,604,3,29,26,False,-1,4,178.64;140.24;95.79;78.84,10728.91,3299.32,Denied,0.0,0.0,0
HOTEL,14352.66,13072.13,16330.54,14585.11,20,11,497,21,20,38,False,-1,3,208.87;134.13;76.38,9117.32,5467.79,Approved,4000,1.45,60
AUTO REPAIR SHOP,25259.7,17249.73,19667.85,20725.76,9,0,542,30,6,34,True,2,0,N/A,0.0,20725.76,Denied,0.0,0.0,0
DENTISTS' OFFICE,12021.25,11636.4,22291.07,15316.24,12,11,549,11,20,24,True,2,0,N/A,0.0,15316.24,Denied,0.0,0.0,0
AUTO REPAIR SHOP,10671.75,9637.69,10397.34,10235.59,6,18,679,19,32,28,True,0,0,N/A,0.0,10235.59,Denied,0.0,0.0,0
OTHER,12392.43,8063.35,10123.35,10193.04,13,4,643,6,34,31,False,-1,1,189.27,4114.73,6078.31,Approved,4000,1.45,65
INSURANCE AGENT,40318.55,27729.16,53672.55,40573.42,6,0,505,15,24,41,True,2,0,N/A,0.0,40573.42,Denied,0.0,0.0,0
GAS STATION,25120.93,28060.5,32105.79,28429.08,17,0,590,25,19,21,True,1,0,N/A,0.0,28429.08,Denied,0.0,0.0,0
TRUCKING COMPANY,18500.12,9348.41,16583.36,14810.63,5,14,754,23,34,47,True,0,0,N/A,0.0,14810.63,Denied,0.0,0.0,0
AUTO REPAIR SHOP,5781.67,14162.3,21069.79,13671.25,9,0,505,8,25,52,False,-1,4,208.38;126.40;93.37;91.24,11291.54,2379.71,Approved,2000,1.45,60
GAS STATION,18590.41,26672.96,9831.68,18365.02,17,0,471,33,20,30,True,0,0,N/A,0.0,18365.02,Denied,0.0,0.0,0
JANITORIAL SERVICE,4105.87,19448.86,6010.6,9855.11,14,0,821,14,34,35,True,1,1,105.74,2298.79,7556.32,Denied,0.0,0.0,0
AUTO REPAIR SHOP,51559.66,31319.78,3947.39,28942.27,9,0,663,13,21,39,False,-1,3,313.76;284.91;216.14,17713.97,11228.3,Approved,6000,1.45,70
HOTEL,17453.18,0,39459.7,18970.96,20,4,526,28,17,29,False,-1,1,277.06,6023.28,12947.67,Denied,0.0,0.0,0
INSURANCE AGENT,35445.07,42017.58,21160.85,32874.5,7,0,392,28,20,51,False,-1,5,365.19;350.93;293.87;118.63;194.05,28754.85,4119.65,Denied,0.0,0.0,0
TOWING COMPANY,39186.83,28402.2,41175.56,36254.87,8,1,420,21,28,21,True,1,1,519.67,11297.63,24957.24,Approved,5000,1.45,60
PLUMBER,12774.66,6612.54,5175.89,8187.7,5,2,539,20,22,37,False,-1,1,120.18,2612.71,5574.98,Approved,2000,1.45,60
INSURANCE AGENT,20724.13,318.38,4039.42,8360.64,8,11,648,11,1,40,True,3,0,N/A,0.0,8360.64,Denied,0.0,0.0,0
TOWING COMPANY,2882.52,0,18709.66,7197.39,8,0,582,7,4,19,False,-1,3,94.41;74.04;43.04,4597.79,2599.6,Denied,0.0,0.0,0
LUXURY TRANSPORTATION SERVICE,12171.7,4950.66,1994.0,6372.12,7,0,361,28,22,26,False,-1,3,124.64;72.44;34.32,5030.64,1341.48,Denied,0.0,0.0,0
